鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
101,5,1300,848,452,153,745,103,695,50,0,103,0,0,0,54,0,0,33,51,0,0,84,0,0,0,0,10,0,0,15,67,138,0
102,5,1402,1017,385,0,1017,0,1017,0,0,0,0,0,0,62,0,4,23,63,0,0,37,8,0,0,0,2,0,0,19,52,115,0
109,1,3187,2376,811,540,2243,133,1836,407,0,133,0,0,0,157,0,0,35,111,11,16,178,10,12,15,0,34,0,0,26,50,156,0
110,4,1268,814,454,0,794,20,794,0,20,0,0,0,0,100,0,8,55,39,0,0,90,0,0,20,9,2,0,0,12,71,48,0
111,3,2164,1575,589,118,1575,0,1457,118,0,0,0,0,0,118,8,3,46,48,2,15,112,24,0,0,1,18,2,0,40,46,106,0
115,1,872,551,321,25,551,0,526,25,0,0,0,0,0,66,0,3,25,40,0,8,0,8,0,0,0,2,0,0,15,49,105,0
116,6,5116,4134,982,680,3850,284,3387,463,67,217,0,0,0,317,14,12,41,97,6,36,32,28,0,90,33,24,11,0,54,39,148,0
117,2,836,545,291,25,545,0,520,25,0,0,0,0,0,59,0,0,17,32,0,20,72,0,0,0,0,4,0,0,12,15,60,0
118,4,2681,1916,765,68,1916,0,1848,68,0,0,0,0,0,242,10,4,48,122,0,17,0,15,0,96,0,51,14,0,56,20,70,0
119,4,422,244,178,0,165,79,165,0,79,0,0,0,0,8,0,0,0,10,8,0,30,0,0,0,0,0,0,0,4,3,114,1
120,2,856,592,264,38,592,0,554,38,0,0,0,0,0,46,4,0,10,29,6,10,60,10,0,0,0,12,0,0,8,15,54,0
301,11,1154,750,404,26,705,45,679,26,45,0,0,0,0,49,4,0,10,31,2,0,122,15,0,0,0,0,0,0,10,45,116,0
302,1,146,106,40,0,76,30,76,0,30,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,30,0
303,3,393,332,61,99,269,63,233,36,0,63,0,0,0,21,0,0,2,7,0,0,0,0,0,0,0,0,0,0,3,5,22,1
304,2,450,450,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,1151,857,294,50,795,62,745,50,62,0,0,0,0,87,0,0,16,21,0,10,40,10,0,0,0,0,0,0,12,20,78,0
306,3,1490,1032,458,180,832,200,752,80,100,100,0,0,0,90,0,10,20,31,10,0,140,20,0,0,0,0,0,0,6,20,111,0
309,1,1130,909,221,50,549,360,499,50,360,0,0,0,0,55,0,0,5,22,4,18,0,12,0,0,0,1,0,0,10,6,88,0
310,1,232,137,95,0,137,0,137,0,0,0,0,0,0,12,0,0,0,5,0,0,38,0,0,0,0,0,0,0,2,0,38,0
312,1,248,248,0,248,40,208,0,40,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,1,99,44,55,0,44,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,1,0,13,0
318,3,191,96,95,0,96,0,96,0,0,0,0,0,0,0,0,0,0,8,0,0,55,0,0,0,0,0,0,0,2,0,30,0
319,4,1119,953,166,276,803,150,677,126,0,150,0,0,0,47,4,0,7,26,0,0,0,0,0,0,0,0,0,0,8,15,59,0
320,3,724,516,208,0,516,0,516,0,0,0,0,0,0,40,0,0,10,25,4,0,30,10,0,0,0,4,0,0,11,9,65,0
322,3,513,339,174,0,339,0,339,0,0,0,0,0,0,34,0,0,9,10,8,0,63,0,0,0,0,1,0,0,5,15,29,0
323,3,259,114,145,0,114,0,114,0,0,0,0,0,0,0,0,0,16,3,0,0,20,0,0,0,0,0,0,0,2,38,66,0
324,3,989,822,167,440,472,350,382,90,0,350,0,0,0,25,4,0,7,10,4,0,30,10,0,0,0,20,0,0,6,15,36,0
325,4,1519,1161,358,264,1022,139,897,125,0,139,0,0,0,113,5,0,30,37,11,20,20,16,0,0,0,0,0,0,23,25,58,0
326,8,2672,1962,710,295,1752,210,1667,85,0,210,0,0,0,165,6,0,50,77,0,18,72,59,0,0,0,0,0,0,28,50,185,0
327,2,2235,1545,690,70,1545,0,1475,70,0,0,0,0,0,203,8,0,36,120,15,18,40,22,0,0,19,20,0,0,45,45,99,0
328,3,802,510,292,0,510,0,510,0,0,0,0,0,0,54,0,0,17,20,2,0,60,15,0,0,2,1,0,0,8,33,80,0
329,7,383,275,108,0,205,70,205,0,70,0,0,0,0,0,0,0,0,6,0,4,60,0,0,0,0,0,0,0,7,16,15,0
